Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
Adrian Dantley*,1107,613,39506,9217,154,43.7,50,17203,7,42,9210,17161,7833,9599,2589,3803,6392,3254,1105,187,2894,26274,1,6,dantlad01,0,0,0,0,0,2,0,0,0,0,0,0
Alex English*,1271,753,40464,11212,105.9,20,37.4,22149,20,89,11192,22060,4487,5407,3047,4096,7143,4575,1140,895,3035,26931,1,8,englial01,0,0,0,0,0,3,0,0,0,0,0,0
Allen Iverson*,1064,1042,43303,9532,108.7,20.7,46,22369,1158,3704,8374,18665,7235,9256,814,3025,3839,6488,2213,185,3740,27457,1,11,iversal01,0,0,2,1,0,7,0,0,3,0,0,0
Alonzo Mourning*,875,703,26677,5216,90.9,4.1,23.9,9913,22,89,5194,9824,4139,6003,2237,5098,7335,964,422,2430,2266,14593,1,7,mournal01,1,2,0,0,0,2,0,2,0,0,0,2
Arnie Risen*,577,0,12690,2265,45.3,0,0,6034,0,0,2265,6034,2108,2989,0,0,5011,958,0,0,0,6638,1,4,risenar01,2,0,0,0,0,0,0,0,0,0,0,0
Artis Gilmore*,980,503,30578,5831,108.4,23.2,39.1,9751,1,13,5830,9738,4181,5896,2708,6664,9372,1798,485,1777,2414,15844,1,11,gilmoar01,0,5,1,0,0,0,0,0,0,0,0,0
Bailey Howell*,950,0,30627,6515,114.7,0,0,13585,0,0,6515,13585,4740,6224,0,0,9383,1853,0,0,0,17770,1,6,howelba01,2,0,0,0,0,1,0,0,0,0,0,0
Bernard King*,874,547,29417,7830,75.2,12.8,27.5,15109,23,134,7807,14975,3972,5444,1704,3356,5060,2863,866,230,2791,19655,1,4,kingbe01,0,0,0,0,0,4,0,0,0,0,0,0
Bill Bradley*,742,0,22799,3927,38.8,-10.1,-0.8,8763,0,0,3927,8763,1363,1623,198,643,2354,2533,209,65,0,9217,1,1,bradlbi01,2,0,0,0,0,0,0,0,0,0,0,0
Bill Russell*,963,0,40726,5687,163.4,0,0,12930,0,0,5687,12930,3148,5614,0,0,21620,4100,0,0,0,14522,1,12,russebi01,11,1,1,5,0,11,0,0,0,0,4,0
Bill Sharman*,711,0,21793,4761,82.8,0,0,11188,0,0,4761,11188,3143,3559,0,0,2793,2101,0,0,0,12665,1,8,sharmbi01,4,0,1,0,0,7,0,0,0,0,0,0
Bill Walton*,468,117,13250,2552,39.3,30.8,21.4,4900,0,4,2552,4896,1111,1683,1103,3820,4923,1590,380,1034,865,6215,1,2,waltobi01,2,2,0,1,0,2,1,0,0,0,1,1
