,index,Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
0,0,A.C. Green,1361.0,905.0,39044.0,4778.0,104.20000000000002,-1.5000000000000016,23.0,9686.0,125.0,509.0,4653.0,9177.0,3247.0,4447.0,3576.0,6553.0,10129.0,1469.0,1103.0,562.0,1508.0,12928.0,0,1.0,greenac01,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Aaron Brooks,797.0,226.0,17088.0,2829.0,23.200000000000003,-38.5,0.4,6893.0,1025.0,2805.0,1804.0,4088.0,1156.0,1371.0,323.0,1037.0,1360.0,2485.0,469.0,113.0,1272.0,7839.0,0,0.0,brookaa01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Aaron McKie,957.0,330.0,22594.0,2554.0,44.900000000000006,-3.700000000000001,14.000000000000002,5923.0,441.0,1275.0,2113.0,4648.0,1087.0,1389.0,580.0,2459.0,3039.0,2462.0,1090.0,199.0,1225.0,6636.0,0,0.0,mckieaa01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,Adrian Dantley*,1107.0,613.0,39506.0,9217.0,153.99999999999997,43.7,49.99999999999999,17203.0,7.0,42.0,9210.0,17161.0,7833.0,9599.0,2589.0,3803.0,6392.0,3254.0,1105.0,187.0,2894.0,26274.0,1,6.0,dantlad01,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Adrian Smith,796.0,0.0,19411.0,3240.0,32.6,0.0,0.0,7610.0,0.0,0.0,3240.0,7610.0,2460.0,2932.0,0.0,0.0,1662.0,1829.0,0.0,0.0,0.0,8940.0,0,1.0,smithad01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,Al Harrington,1132.0,579.0,33118.0,6055.0,50.800000000000004,-37.50000000000001,6.9,13613.0,1275.0,3541.0,4780.0,10072.0,2606.0,3567.0,1745.0,4688.0,6433.0,1900.0,1011.0,292.0,2168.0,15991.0,0,0.0,harrial01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,Al Horford,646.0,642.0,21535.0,3923.0,70.60000000000001,29.5,27.2,7427.0,195.0,563.0,3728.0,6864.0,1199.0,1603.0,1472.0,4136.0,5608.0,1926.0,534.0,784.0,1031.0,9240.0,0,5.0,horfoal01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,Al Jefferson,879.0,650.0,25815.0,6050.0,69.39999999999999,-2.200000000000002,14.699999999999998,12136.0,8.0,63.0,6042.0,12073.0,1983.0,2797.0,2024.0,5523.0,7547.0,1317.0,612.0,1070.0,1190.0,14091.0,0,0.0,jeffeal01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,Albert King,534.0,326.0,12836.0,2709.0,16.4,-19.6,1.7999999999999998,5875.0,56.0,209.0,2653.0,5666.0,996.0,1259.0,760.0,1502.0,2262.0,1171.0,452.0,196.0,1151.0,6470.0,0,0.0,kingal01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,Alex English*,1271.0,753.0,40464.0,11212.0,105.89999999999998,20.0,37.39999999999999,22149.0,20.0,89.0,11192.0,22060.0,4487.0,5407.0,3047.0,4096.0,7143.0,4575.0,1140.0,895.0,3035.0,26931.0,1,8.0,englial01,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
