City,Country,Date,Latitude,Longitude,Cloudiness,Max_Temp,Humidity,Wind_Speed
methoni,GR,1564801495.0,36.82,21.7,0.0,78.01,83.0,9.17
karratha,AU,1564801524.0,-20.74,116.85,74.0,76.3,14.0,22.79
turukhansk,RU,1564801524.0,65.8,87.96,67.0,65.68,55.0,13.82
mikhaylovka,RU,1564801524.0,52.96,103.29,45.0,73.06,68.0,3.31
miri,NG,1564801525.0,10.31,9.75,100.0,69.46,95.0,3.94
yumen,CN,1564801525.0,40.29,97.04,26.0,86.92,16.0,4.45
rikitea,PF,1564801525.0,-23.12,-134.97,79.0,69.46,77.0,16.82
beringovskiy,RU,1564801526.0,63.05,179.32,100.0,44.26,89.0,8.01
punta arenas,CL,1564801526.0,-53.16,-70.91,90.0,39.2,86.0,16.11
kapaa,US,1564801526.0,22.08,-159.32,40.0,87.8,70.0,17.22
chimbote,PE,1564801527.0,-9.08,-78.59,0.0,60.28,91.0,12.33
brae,GB,1564801527.0,60.4,-1.35,57.0,53.6,93.0,3.36
sambava,MG,1564801527.0,-14.27,50.17,2.0,63.34,88.0,3.56
fairbanks,US,1564801473.0,64.84,-147.72,90.0,60.01,100.0,5.82
ucluelet,CA,1564801528.0,48.94,-125.55,0.0,66.99,84.0,11.63
bluff,AU,1564801528.0,-23.58,149.07,0.0,71.8,38.0,16.71
spiridonovka,RU,1564801528.0,53.09,50.65,40.0,55.4,82.0,4.47
taolanaro,,,,,,,,
elko,US,1564801529.0,40.83,-115.76,1.0,91.4,10.0,9.17
ghauspur,PK,1564801529.0,28.14,69.08,79.0,87.8,58.0,4.7
tiksi,RU,1564801529.0,71.64,128.87,0.0,48.22,59.0,10.58
puerto escondido,MX,1564801530.0,15.86,-97.07,75.0,80.6,78.0,4.9
severnyy,,,,,,,,
khani,GE,1564801530.0,41.96,42.96,75.0,66.2,93.0,4.7
faanui,PF,1564801531.0,-16.48,-151.75,22.0,79.0,82.0,12.24
mar del plata,AR,1564801531.0,-46.43,-67.52,100.0,42.28,73.0,15.9
sarkand,KZ,1564801531.0,45.41,79.91,16.0,94.48,14.0,5.59
saint-philippe,CA,1564801532.0,45.36,-73.48,1.0,73.99,93.0,3.36
davila,PH,1564801532.0,18.47,120.58,40.0,87.8,70.0,11.41
saleaula,,,,,,,,
hilo,US,1564801532.0,19.71,-155.08,90.0,82.4,74.0,8.05
abu zabad,SD,1564801533.0,12.35,29.25,80.0,79.9,57.0,4.68
arraial do cabo,BR,1564801533.0,-22.97,-42.02,91.0,71.98,89.0,23.8
attawapiskat,,,,,,,,
husavik,CA,1564801533.0,50.56,-96.99,0.0,73.99,68.0,0.78
gazalkent,UZ,1564801534.0,41.57,69.78,0.0,87.8,29.0,9.17
nikolskoye,RU,1564801534.0,59.7,30.79,90.0,53.6,81.0,8.95
merrill,US,1564801534.0,42.03,-121.6,1.0,77.0,22.0,14.99
port alfred,ZA,1564801535.0,-33.59,26.89,78.0,57.99,83.0,5.99
ushuaia,AR,1564801326.0,-54.81,-68.31,75.0,41.0,56.0,12.75
cheremukhovo,RU,1564801535.0,56.23,46.23,38.0,50.02,89.0,5.86
carnarvon,ZA,1564801535.0,-30.97,22.13,0.0,41.74,47.0,6.8
vaitupu,,,,,,,,
esperance,AU,1564801536.0,-33.86,121.89,100.0,64.4,31.0,21.92
